Date,Symbol,Close
6/1/2017,C,61.08
6/2/2017,C,61.11
6/5/2017,C,61.25
6/6/2017,C,61.01
6/7/2017,C,61.88
6/8/2017,C,63.21
6/9/2017,C,64.45
6/12/2017,C,64.32
6/13/2017,C,64.69
6/14/2017,C,64.72
6/15/2017,C,64.1
6/16/2017,C,63.89
6/19/2017,C,64.48
6/20/2017,C,63.91
6/21/2017,C,63.83
6/22/2017,C,63.62
6/23/2017,C,63.41
6/26/2017,C,63.78
6/27/2017,C,64.23
6/28/2017,C,65.18
6/29/2017,C,66.98
6/30/2017,C,66.88
7/3/2017,C,68.26
7/5/2017,C,68.45
7/6/2017,C,67.63
7/7/2017,C,67.91
7/10/2017,C,67.65
7/11/2017,C,66.82
7/12/2017,C,66.92
7/13/2017,C,67.02
7/14/2017,C,66.72
7/17/2017,C,66.83
7/18/2017,C,66.89
7/19/2017,C,66.7
7/20/2017,C,66.36
7/21/2017,C,66
7/24/2017,C,66.1
7/25/2017,C,68.03
7/26/2017,C,67.98
7/27/2017,C,67.6
7/28/2017,C,67.43
7/31/2017,C,68.45
8/1/2017,C,69.6
8/2/2017,C,69.42
8/3/2017,C,68.13
8/4/2017,C,68.98
8/7/2017,C,69.04
8/8/2017,C,68.88
8/9/2017,C,68.43
8/10/2017,C,67.22
8/11/2017,C,66.8
8/14/2017,C,67.89
8/15/2017,C,67.97
8/16/2017,C,67.71
8/17/2017,C,66.6
8/18/2017,C,66.58
8/21/2017,C,65.95
8/22/2017,C,66.85
8/23/2017,C,67.23
8/24/2017,C,67.69
8/25/2017,C,67.85
8/28/2017,C,67.81
8/29/2017,C,67.48
8/30/2017,C,68.01
8/31/2017,C,68.03
9/1/2017,C,68.58
9/5/2017,C,67.16
9/6/2017,C,67.32
9/7/2017,C,66.06
9/8/2017,C,66.17
9/11/2017,C,67.71
9/12/2017,C,68.79
9/13/2017,C,69.39
9/14/2017,C,69.24
9/15/2017,C,69.04
9/18/2017,C,70.6
9/19/2017,C,71.15
9/20/2017,C,71.46
9/21/2017,C,71.76
9/22/2017,C,71.4
9/25/2017,C,70.84
9/26/2017,C,70.94
9/27/2017,C,72.28
9/28/2017,C,72.65
9/29/2017,C,72.74
10/2/2017,C,73.8
10/3/2017,C,74.13
10/4/2017,C,74.06
10/5/2017,C,75.72
10/6/2017,C,75.64
10/9/2017,C,75.39
10/10/2017,C,75.18
10/11/2017,C,74.94
10/12/2017,C,72.37
10/13/2017,C,72.11
10/16/2017,C,71.77
10/17/2017,C,72.19
10/18/2017,C,73.12
10/19/2017,C,72.88
10/20/2017,C,73.53
10/23/2017,C,73.53
10/24/2017,C,74.24
10/25/2017,C,73.62
10/26/2017,C,73.79
10/27/2017,C,73.87
10/30/2017,C,73.78
10/31/2017,C,73.5
11/1/2017,C,74.03
11/2/2017,C,74.74
11/3/2017,C,74.05
11/6/2017,C,73.8
11/7/2017,C,72.71
11/8/2017,C,72.34
11/9/2017,C,72.43
11/10/2017,C,72.25
11/13/2017,C,71.99
11/14/2017,C,71.53
11/15/2017,C,71.73
11/16/2017,C,71.67
11/17/2017,C,71.33
11/20/2017,C,72.05
11/21/2017,C,72.38
11/22/2017,C,72.26
11/24/2017,C,72.02
11/27/2017,C,71.39
11/28/2017,C,73.7
11/29/2017,C,75.04
11/30/2017,C,75.5
12/1/2017,C,75.51
12/4/2017,C,77.1
12/5/2017,C,76.54
12/6/2017,C,75.44
12/7/2017,C,74.98
12/8/2017,C,75.71
12/11/2017,C,75.85
12/12/2017,C,76.15
12/13/2017,C,75.14
12/14/2017,C,73.92
12/15/2017,C,74.77
12/18/2017,C,75.67
12/19/2017,C,74.7
12/20/2017,C,74.66
12/21/2017,C,75.82
12/22/2017,C,75.49
12/26/2017,C,74.78
12/27/2017,C,74.89
12/28/2017,C,75.08
12/29/2017,C,74.41
1/2/2018,C,74.36
1/3/2018,C,74.59
1/4/2018,C,75.51
1/5/2018,C,75.41
1/8/2018,C,74.53
1/9/2018,C,75.31
1/10/2018,C,75.65
1/11/2018,C,75.56
1/12/2018,C,76.84
1/16/2018,C,77.11
1/17/2018,C,77.47
1/18/2018,C,77.39
1/19/2018,C,78.3
1/22/2018,C,78.59
1/23/2018,C,78.55
1/24/2018,C,79.45
1/25/2018,C,79.44
1/26/2018,C,80.08
1/29/2018,C,79.96
1/30/2018,C,78.62
1/31/2018,C,78.48
2/1/2018,C,79.2
2/2/2018,C,77.02
2/5/2018,C,73.27
2/6/2018,C,74.82
2/7/2018,C,74.99
2/8/2018,C,71.87
2/9/2018,C,73.68
2/12/2018,C,74.76
2/13/2018,C,75.18
2/14/2018,C,76.71
2/15/2018,C,77.08
2/16/2018,C,76.82
2/20/2018,C,76.46
2/21/2018,C,77
2/22/2018,C,76.27
2/23/2018,C,77.08
2/26/2018,C,77.65
2/27/2018,C,76.38
2/28/2018,C,75.49
3/1/2018,C,73.66
3/2/2018,C,73.68
3/5/2018,C,74.42
3/6/2018,C,74.06
3/7/2018,C,73.92
3/8/2018,C,74.11
3/9/2018,C,76.11
3/12/2018,C,76.02
3/13/2018,C,74.91
3/14/2018,C,73.47
3/15/2018,C,73.34
3/16/2018,C,73.47
3/19/2018,C,72.7
3/20/2018,C,72.92
3/21/2018,C,73.32
3/22/2018,C,70.31
3/23/2018,C,67.9
3/26/2018,C,69.78
3/27/2018,C,68.28
3/28/2018,C,68.26
3/29/2018,C,67.5
4/2/2018,C,67.71
4/3/2018,C,68.48
4/4/2018,C,69.31
4/5/2018,C,70.22
