Date,Symbol,Close
6/1/2017,BABA,123.97
6/2/2017,BABA,124.13
6/5/2017,BABA,125.37
6/6/2017,BABA,124.62
6/7/2017,BABA,125.64
6/8/2017,BABA,142.34
6/9/2017,BABA,139.44
6/12/2017,BABA,139.08
6/13/2017,BABA,136.6
6/14/2017,BABA,136.67
6/15/2017,BABA,135.08
6/16/2017,BABA,134.87
6/19/2017,BABA,139.47
6/20/2017,BABA,138.38
6/21/2017,BABA,143.29
6/22/2017,BABA,142.27
6/23/2017,BABA,143.01
6/26/2017,BABA,142.73
6/27/2017,BABA,141.53
6/28/2017,BABA,143.95
6/29/2017,BABA,140.81
6/30/2017,BABA,140.9
7/3/2017,BABA,140.99
7/5/2017,BABA,144.87
7/6/2017,BABA,142.2
7/7/2017,BABA,142.43
7/10/2017,BABA,143.81
7/11/2017,BABA,145.81
7/12/2017,BABA,149
7/13/2017,BABA,149.52
7/14/2017,BABA,151.83
7/17/2017,BABA,151.23
7/18/2017,BABA,153.75
7/19/2017,BABA,153.15
7/20/2017,BABA,152.11
7/21/2017,BABA,151.89
7/24/2017,BABA,152.26
7/25/2017,BABA,152.44
7/26/2017,BABA,155.79
7/27/2017,BABA,154.15
7/28/2017,BABA,157.56
7/31/2017,BABA,154.95
8/1/2017,BABA,154.73
8/2/2017,BABA,151.91
8/3/2017,BABA,153.32
8/4/2017,BABA,153.33
8/7/2017,BABA,158.84
8/8/2017,BABA,157.5
8/9/2017,BABA,157.49
8/10/2017,BABA,151.77
8/11/2017,BABA,151.7
8/14/2017,BABA,154.61
8/15/2017,BABA,157.75
8/16/2017,BABA,159.5
8/17/2017,BABA,163.92
8/18/2017,BABA,167.5
8/21/2017,BABA,169.25
8/22/2017,BABA,174.46
8/23/2017,BABA,175.8
8/24/2017,BABA,175
8/25/2017,BABA,171.74
8/28/2017,BABA,168.3
8/29/2017,BABA,167.41
8/30/2017,BABA,171.25
8/31/2017,BABA,171.74
9/1/2017,BABA,171.04
9/5/2017,BABA,169.92
9/6/2017,BABA,168.14
9/7/2017,BABA,170.48
9/8/2017,BABA,169
9/11/2017,BABA,174.06
9/12/2017,BABA,175.31
9/13/2017,BABA,178.97
9/14/2017,BABA,177.1
9/15/2017,BABA,176.7
9/18/2017,BABA,179.98
9/19/2017,BABA,180.07
9/20/2017,BABA,177.95
9/21/2017,BABA,177.39
9/22/2017,BABA,178.14
9/25/2017,BABA,169.59
9/26/2017,BABA,167.02
9/27/2017,BABA,170.99
9/28/2017,BABA,170.24
9/29/2017,BABA,172.71
10/2/2017,BABA,173.61
10/3/2017,BABA,178.56
10/4/2017,BABA,178.71
10/5/2017,BABA,178.89
10/6/2017,BABA,179.2
10/9/2017,BABA,182.09
10/10/2017,BABA,183.12
10/11/2017,BABA,184.69
10/12/2017,BABA,180.53
10/13/2017,BABA,178.45
10/16/2017,BABA,179.56
10/17/2017,BABA,175.32
10/18/2017,BABA,179.61
10/19/2017,BABA,177.93
10/20/2017,BABA,177.32
10/23/2017,BABA,173.13
10/24/2017,BABA,173.7
10/25/2017,BABA,170.22
10/26/2017,BABA,170.32
10/27/2017,BABA,176.15
10/30/2017,BABA,181.58
10/31/2017,BABA,184.89
11/1/2017,BABA,186.08
11/2/2017,BABA,184.81
11/3/2017,BABA,183.21
11/6/2017,BABA,187.84
11/7/2017,BABA,188.51
11/8/2017,BABA,185.9
11/9/2017,BABA,185.13
11/10/2017,BABA,186.41
11/13/2017,BABA,184.54
11/14/2017,BABA,181.79
11/15/2017,BABA,181.48
11/16/2017,BABA,185.43
11/17/2017,BABA,185.13
11/20/2017,BABA,188
11/21/2017,BABA,190.9
11/22/2017,BABA,189.84
11/24/2017,BABA,191.19
11/27/2017,BABA,188.03
11/28/2017,BABA,186.69
11/29/2017,BABA,179.91
11/30/2017,BABA,177.08
12/1/2017,BABA,174.61
12/4/2017,BABA,169.58
12/5/2017,BABA,168.96
12/6/2017,BABA,172.63
12/7/2017,BABA,174.47
12/8/2017,BABA,177.62
12/11/2017,BABA,179.29
12/12/2017,BABA,174.64
12/13/2017,BABA,176.47
12/14/2017,BABA,171.75
12/15/2017,BABA,173.55
12/18/2017,BABA,173.37
12/19/2017,BABA,171.28
12/20/2017,BABA,172.64
12/21/2017,BABA,175.32
12/22/2017,BABA,176.29
12/26/2017,BABA,172.33
12/27/2017,BABA,172.97
12/28/2017,BABA,172.3
12/29/2017,BABA,172.43
1/2/2018,BABA,183.65
1/3/2018,BABA,184
1/4/2018,BABA,185.71
1/5/2018,BABA,190.7
1/8/2018,BABA,190.33
1/9/2018,BABA,190.8
1/10/2018,BABA,189.79
1/11/2018,BABA,188.75
1/12/2018,BABA,187.79
1/16/2018,BABA,182.4
1/17/2018,BABA,183.83
1/18/2018,BABA,184.4
1/19/2018,BABA,184.05
1/22/2018,BABA,184.02
1/23/2018,BABA,192.28
1/24/2018,BABA,195.53
1/25/2018,BABA,198.33
1/26/2018,BABA,205.22
1/29/2018,BABA,203.01
1/30/2018,BABA,199.66
1/31/2018,BABA,204.29
2/1/2018,BABA,192.22
2/2/2018,BABA,187.31
2/5/2018,BABA,180.53
2/6/2018,BABA,185.17
2/7/2018,BABA,180.3
2/8/2018,BABA,173.7
2/9/2018,BABA,176.67
2/12/2018,BABA,177.44
2/13/2018,BABA,179.25
2/14/2018,BABA,186.76
2/15/2018,BABA,187.45
2/16/2018,BABA,183.68
2/20/2018,BABA,187.19
2/21/2018,BABA,188.82
2/22/2018,BABA,188.75
2/23/2018,BABA,193.29
2/26/2018,BABA,194.19
2/27/2018,BABA,188.26
2/28/2018,BABA,186.14
3/1/2018,BABA,181.99
3/2/2018,BABA,179.76
3/5/2018,BABA,181.6
3/6/2018,BABA,187.37
3/7/2018,BABA,189.05
3/8/2018,BABA,187.18
3/9/2018,BABA,190.55
3/12/2018,BABA,192.74
3/13/2018,BABA,188.41
3/14/2018,BABA,192.56
3/15/2018,BABA,199.06
3/16/2018,BABA,200.28
3/19/2018,BABA,194.53
3/20/2018,BABA,198.95
3/21/2018,BABA,195.3
3/22/2018,BABA,184.65
3/23/2018,BABA,181.2
3/26/2018,BABA,190.5
3/27/2018,BABA,181.89
3/28/2018,BABA,178.91
3/29/2018,BABA,183.54
4/2/2018,BABA,177.61
4/3/2018,BABA,174.67
4/4/2018,BABA,172.07
4/5/2018,BABA,172.57
4/6/2018,BABA,167.52
4/9/2018,BABA,169.87
4/10/2018,BABA,177.1
4/11/2018,BABA,175.36
4/12/2018,BABA,175.92
4/13/2018,BABA,172.04
4/16/2018,BABA,174.7
4/17/2018,BABA,178.7
4/18/2018,BABA,182.68
4/19/2018,BABA,181.39
4/20/2018,BABA,179.11
4/23/2018,BABA,175.57
4/24/2018,BABA,173.09
4/25/2018,BABA,170.22
4/26/2018,BABA,173.9
4/27/2018,BABA,177.16
4/30/2018,BABA,178.54
5/1/2018,BABA,179.5
5/2/2018,BABA,181.45
5/3/2018,BABA,182.45
5/4/2018,BABA,188.89
5/7/2018,BABA,195.35
5/8/2018,BABA,196.31
5/9/2018,BABA,195.43
5/10/2018,BABA,195.96
5/11/2018,BABA,194.36
5/14/2018,BABA,198.64
5/15/2018,BABA,196.61
5/16/2018,BABA,198.11
5/17/2018,BABA,196.02
5/18/2018,BABA,195
5/21/2018,BABA,197.64
5/22/2018,BABA,195.87
5/23/2018,BABA,196.8
5/24/2018,BABA,197.37
5/25/2018,BABA,199.2
