Date,Symbol,Close
6/1/2017,ETSY,13.55
6/2/2017,ETSY,13.47
6/5/2017,ETSY,13.54
6/6/2017,ETSY,13.49
6/7/2017,ETSY,13.43
6/8/2017,ETSY,13.92
6/9/2017,ETSY,13.45
6/12/2017,ETSY,13.26
6/13/2017,ETSY,13.64
6/14/2017,ETSY,13.57
6/15/2017,ETSY,13.85
6/16/2017,ETSY,13.67
6/19/2017,ETSY,14.2
6/20/2017,ETSY,13.98
6/21/2017,ETSY,14.2
6/22/2017,ETSY,14.68
6/23/2017,ETSY,15.24
6/26/2017,ETSY,15.27
6/27/2017,ETSY,14.8
6/28/2017,ETSY,15.19
6/29/2017,ETSY,14.97
6/30/2017,ETSY,15
7/3/2017,ETSY,14.72
7/5/2017,ETSY,14.89
7/6/2017,ETSY,14.63
7/7/2017,ETSY,15.02
7/10/2017,ETSY,15.01
7/11/2017,ETSY,14.82
7/12/2017,ETSY,14.93
7/13/2017,ETSY,15.18
7/14/2017,ETSY,15.06
7/17/2017,ETSY,14.77
7/18/2017,ETSY,14.91
7/19/2017,ETSY,14.6
7/20/2017,ETSY,14.5
7/21/2017,ETSY,14.62
7/24/2017,ETSY,14.49
7/25/2017,ETSY,14.65
7/26/2017,ETSY,14.92
7/27/2017,ETSY,14.84
7/28/2017,ETSY,14.64
7/31/2017,ETSY,14.37
8/1/2017,ETSY,14.31
8/2/2017,ETSY,14.02
8/3/2017,ETSY,13.59
8/4/2017,ETSY,15.15
8/7/2017,ETSY,15.46
8/8/2017,ETSY,15.62
8/9/2017,ETSY,15.85
8/10/2017,ETSY,15.9
8/11/2017,ETSY,16.22
8/14/2017,ETSY,16.19
8/15/2017,ETSY,15.64
8/16/2017,ETSY,15.6
8/17/2017,ETSY,15.58
8/18/2017,ETSY,15.59
8/21/2017,ETSY,15.43
8/22/2017,ETSY,15.63
8/23/2017,ETSY,15.61
8/24/2017,ETSY,15.84
8/25/2017,ETSY,15.64
8/28/2017,ETSY,15.83
8/29/2017,ETSY,16.03
8/30/2017,ETSY,16.17
8/31/2017,ETSY,16.37
9/1/2017,ETSY,16.31
9/5/2017,ETSY,16.32
9/6/2017,ETSY,16.62
9/7/2017,ETSY,17
9/8/2017,ETSY,16.88
9/11/2017,ETSY,17.34
9/12/2017,ETSY,17.62
9/13/2017,ETSY,17.79
9/14/2017,ETSY,17.76
9/15/2017,ETSY,17.17
9/18/2017,ETSY,17.13
9/19/2017,ETSY,17.17
9/20/2017,ETSY,17.18
9/21/2017,ETSY,17.11
9/22/2017,ETSY,17.11
9/25/2017,ETSY,16.9
9/26/2017,ETSY,17.04
9/27/2017,ETSY,16.96
9/28/2017,ETSY,16.82
9/29/2017,ETSY,16.88
10/2/2017,ETSY,17.2
10/3/2017,ETSY,17.03
10/4/2017,ETSY,16.55
10/5/2017,ETSY,16.5
10/6/2017,ETSY,16.72
10/9/2017,ETSY,16.47
10/10/2017,ETSY,16.4
10/11/2017,ETSY,16.34
10/12/2017,ETSY,16.2
10/13/2017,ETSY,16.51
10/16/2017,ETSY,16.36
10/17/2017,ETSY,16.2
10/18/2017,ETSY,16.36
10/19/2017,ETSY,16.19
10/20/2017,ETSY,16.38
10/23/2017,ETSY,15.76
10/24/2017,ETSY,15.74
10/25/2017,ETSY,15.81
10/26/2017,ETSY,16.27
10/27/2017,ETSY,16.75
10/30/2017,ETSY,16.71
10/31/2017,ETSY,16.7
11/1/2017,ETSY,16.73
11/2/2017,ETSY,16.5
11/3/2017,ETSY,16.59
11/6/2017,ETSY,17.15
11/7/2017,ETSY,16.86
11/8/2017,ETSY,16.51
11/9/2017,ETSY,16.51
11/10/2017,ETSY,16.72
11/13/2017,ETSY,16.65
11/14/2017,ETSY,16.59
11/15/2017,ETSY,16.47
11/16/2017,ETSY,16.42
11/17/2017,ETSY,16.47
11/20/2017,ETSY,16.65
11/21/2017,ETSY,16.93
11/22/2017,ETSY,16.87
11/24/2017,ETSY,17.12
11/27/2017,ETSY,16.98
11/28/2017,ETSY,16.98
11/29/2017,ETSY,16.32
11/30/2017,ETSY,16.46
12/1/2017,ETSY,16.83
12/4/2017,ETSY,17.91
12/5/2017,ETSY,18.19
12/6/2017,ETSY,18.74
12/7/2017,ETSY,18.96
12/8/2017,ETSY,19.32
12/11/2017,ETSY,19.93
12/12/2017,ETSY,20.21
12/13/2017,ETSY,20.16
12/14/2017,ETSY,20.14
12/15/2017,ETSY,20.5
12/18/2017,ETSY,20.77
12/19/2017,ETSY,20.31
12/20/2017,ETSY,20.72
12/21/2017,ETSY,21.76
12/22/2017,ETSY,21.69
12/26/2017,ETSY,21.75
12/27/2017,ETSY,20.82
12/28/2017,ETSY,20.65
12/29/2017,ETSY,20.45
1/2/2018,ETSY,20.83
1/3/2018,ETSY,20.41
1/4/2018,ETSY,20.23
1/5/2018,ETSY,20.25
1/8/2018,ETSY,20.32
1/9/2018,ETSY,20.9
1/10/2018,ETSY,20.26
1/11/2018,ETSY,20.56
1/12/2018,ETSY,19.54
1/16/2018,ETSY,19.35
1/17/2018,ETSY,19.74
1/18/2018,ETSY,19.6
1/19/2018,ETSY,19.7
1/22/2018,ETSY,20.03
1/23/2018,ETSY,19.94
1/24/2018,ETSY,19.05
1/25/2018,ETSY,19.14
1/26/2018,ETSY,19.2
1/29/2018,ETSY,18.96
1/30/2018,ETSY,18.89
1/31/2018,ETSY,18.76
2/1/2018,ETSY,19.16
2/2/2018,ETSY,18.79
2/5/2018,ETSY,18.44
